timestamp_ns,price,bid,ask,size,symbol
1700000000000000000,449.9559,449.9334,449.9784,478,SPY
1700000000001014462,449.9233,449.9008,449.9458,283,SPY
1700000000002040872,450.0209,449.9984,450.0434,315,SPY
1700000000002437061,449.8909,449.8684,449.9134,415,SPY
1700000000003700611,450.0637,450.0412,450.0862,296,SPY
1700000000003994937,450.1136,450.0911,450.1361,365,SPY
1700000000004643408,450.0168,449.9943,450.0393,463,SPY
1700000000005640696,449.9267,449.9042,449.9492,468,SPY
1700000000006458870,449.8633,449.8408,449.8858,388,SPY
1700000000008148759,449.8969,449.8744,449.9194,290,SPY
1700000000009434573,449.9116,449.8891,449.9341,310,SPY
1700000000010191890,449.9500,449.9275,449.9725,317,SPY
1700000000011874346,450.1442,450.1216,450.1667,195,SPY
1700000000012588034,450.0078,449.9853,450.0303,335,SPY
1700000000013250180,449.9997,449.9772,450.0222,368,SPY
1700000000013908609,449.9556,449.9331,449.9781,20,SPY
1700000000014013988,449.9811,449.9586,450.0036,300,SPY
1700000000014268983,449.9103,449.8878,449.9328,316,SPY
1700000000014503119,449.9727,449.9502,449.9952,202,SPY
1700000000015223542,449.8564,449.8339,449.8789,47,SPY
1700000000016685969,450.0200,449.9975,450.0425,378,SPY
1700000000017669843,449.9365,449.9140,449.9590,167,SPY
1700000000019388550,449.8629,449.8404,449.8854,467,SPY
1700000000019947957,449.9235,449.9010,449.9460,30,SPY
1700000000021943464,449.9115,449.8890,449.9340,181,SPY
1700000000022813872,449.9273,449.9048,449.9498,368,SPY
1700000000023952117,449.8536,449.8311,449.8761,382,SPY
1700000000024412286,449.7667,449.7442,449.7892,193,SPY
1700000000025404096,449.7098,449.6873,449.7323,478,SPY
1700000000026888356,449.7855,449.7630,449.8080,214,SPY
1700000000027112875,449.9060,449.8835,449.9285,197,SPY
1700000000028639740,450.0276,450.0051,450.0501,345,SPY
1700000000029443942,450.0095,449.9870,450.0320,295,SPY
1700000000030252919,450.0045,449.9820,450.0270,436,SPY
1700000000030687774,449.9788,449.9563,450.0013,263,SPY
1700000000031911038,450.0779,450.0554,450.1004,149,SPY
1700000000033273952,449.9854,449.9629,450.0079,86,SPY
1700000000034050226,450.0099,449.9874,450.0324,57,SPY
1700000000035164016,450.1260,450.1035,450.1486,258,SPY
1700000000035957179,450.1981,450.1756,450.2206,107,SPY
1700000000037858224,450.1395,450.1170,450.1620,339,SPY
1700000000039109738,450.1647,450.1422,450.1872,340,SPY
1700000000039432665,450.1443,450.1218,450.1668,6,SPY
1700000000040193205,450.2105,450.1880,450.2330,406,SPY
1700000000041568621,450.1658,450.1433,450.1883,264,SPY
1700000000041857549,450.1784,450.1559,450.2009,430,SPY
1700000000042696524,450.0782,450.0557,450.1008,64,SPY
1700000000043904813,449.9721,449.9496,449.9946,268,SPY
1700000000045883655,450.0211,449.9986,450.0436,378,SPY
1700000000047646579,450.0145,449.9920,450.0370,334,SPY
1700000000047882470,450.0259,450.0034,450.0484,241,SPY
1700000000049719334,450.1054,450.0829,450.1279,227,SPY
1700000000051308305,450.0444,450.0219,450.0669,441,SPY
1700000000052310697,450.0007,449.9782,450.0232,19,SPY
1700000000053583003,450.0056,449.9831,450.0281,164,SPY
1700000000055320973,449.9284,449.9059,449.9509,335,SPY
1700000000056436854,449.9460,449.9235,449.9685,269,SPY
1700000000056818498,449.9387,449.9162,449.9612,72,SPY
1700000000057194248,450.0195,449.9970,450.0420,126,SPY
1700000000058989449,450.2226,450.2001,450.2451,100,SPY
1700000000060951937,450.4067,450.3842,450.4292,131,SPY
1700000000061599790,450.4607,450.4382,450.4832,140,SPY
1700000000062680299,450.4673,450.4448,450.4899,13,SPY
1700000000064503338,450.5030,450.4805,450.5255,239,SPY
1700000000066113345,450.4336,450.4111,450.4561,491,SPY
1700000000067457396,450.5779,450.5554,450.6004,283,SPY
1700000000069389184,450.6134,450.5908,450.6359,149,SPY
1700000000071194785,450.6730,450.6505,450.6955,252,SPY
1700000000073179851,450.5842,450.5617,450.6067,200,SPY
1700000000074871578,450.5698,450.5473,450.5923,349,SPY
1700000000075565613,450.5467,450.5242,450.5692,372,SPY
1700000000076769355,450.5504,450.5278,450.5729,333,SPY
1700000000077437998,450.7090,450.6864,450.7315,165,SPY
1700000000079120626,450.7381,450.7156,450.7606,291,SPY
1700000000080579191,450.5591,450.5366,450.5817,412,SPY
1700000000082129905,450.8271,450.8046,450.8497,409,SPY
1700000000083570200,450.6594,450.6368,450.6819,166,SPY
1700000000084623681,450.6823,450.6598,450.7048,345,SPY
1700000000086527811,450.6257,450.6031,450.6482,413,SPY
1700000000086664745,450.6970,450.6745,450.7196,110,SPY
1700000000087087857,450.8042,450.7817,450.8268,392,SPY
1700000000088929299,450.7648,450.7422,450.7873,28,SPY
